date,strategy,return
2021-06-14,Base Min-Variance,0.00038195118138956656
2021-06-15,Base Min-Variance,-0.004490017709589892
2021-06-16,Base Min-Variance,-0.010757331927752979
2021-06-17,Base Min-Variance,-0.00024804972033309056
2021-06-18,Base Min-Variance,-0.010641010246532048
2021-06-21,Base Min-Variance,0.010318467088858084
2021-06-22,Base Min-Variance,-0.0009918204053804727
2021-06-23,Base Min-Variance,-0.007292780032489066
2021-06-24,Base Min-Variance,0.005091347083247168
2021-06-25,Base Min-Variance,0.01128974549888372
2021-06-28,Base Min-Variance,0.0019966030290004336
2021-06-29,Base Min-Variance,-0.002865202146612789
2021-06-30,Base Min-Variance,0.007322584665462299
2021-07-01,Base Min-Variance,0.0036167680571558983
2021-07-02,Base Min-Variance,0.005052686190572334
2021-07-06,Base Min-Variance,-0.0021100667854927462
2021-07-07,Base Min-Variance,0.002326586624364352
2021-07-08,Base Min-Variance,-0.00484779591788044
2021-07-09,Base Min-Variance,0.0067872894504550614
2021-07-12,Base Min-Variance,0.002130871859007279
2021-07-13,Base Min-Variance,-0.0026923889785028725
2021-07-14,Base Min-Variance,0.004137033267449091
2021-07-15,Base Min-Variance,0.0015419909471938423
2021-07-16,Base Min-Variance,-0.0013487491205565983
2021-07-19,Base Min-Variance,-0.013677055681203556
2021-07-20,Base Min-Variance,0.005391369428302573
2021-07-21,Base Min-Variance,-0.0018420035125994183
2021-07-22,Base Min-Variance,-0.00011143387645037965
2021-07-23,Base Min-Variance,0.010255431936296331
2021-07-26,Base Min-Variance,0.001043348496164395
2021-07-27,Base Min-Variance,0.0012202392985007286
2021-07-28,Base Min-Variance,-0.0011596537920751508
2021-07-29,Base Min-Variance,-0.0005923426380379801
2021-07-30,Base Min-Variance,-0.002789150917426435
2021-08-02,Base Min-Variance,-0.0015156543130872271
2021-08-03,Base Min-Variance,0.0005824077720648496
2021-08-04,Base Min-Variance,-0.008156314266340402
2021-08-05,Base Min-Variance,0.004514888417136736
2021-08-06,Base Min-Variance,-0.0011982446286903398
2021-08-09,Base Min-Variance,0.0009949059875671669
2021-08-10,Base Min-Variance,0.004573769521081577
2021-08-11,Base Min-Variance,0.0042064862793051334
2021-08-12,Base Min-Variance,0.002657419971270622
2021-08-13,Base Min-Variance,0.003898441904124698
2021-08-16,Base Min-Variance,0.006749068945524761
2021-08-17,Base Min-Variance,0.002725033180190969
2021-08-18,Base Min-Variance,-0.010885573660783698
2021-08-19,Base Min-Variance,0.0015623150601576433
2021-08-20,Base Min-Variance,0.003927079738200677
2021-08-23,Base Min-Variance,-0.0016163466226120531
2021-08-24,Base Min-Variance,-0.005277917296298359
2021-08-25,Base Min-Variance,-0.0035141131426849495
2021-08-26,Base Min-Variance,-0.00615528035130341
2021-08-27,Base Min-Variance,0.0017126293225343567
2021-08-30,Base Min-Variance,0.0038412469800213887
2021-08-31,Base Min-Variance,0.0036411888184704365
2021-09-01,Base Min-Variance,0.0010234240804336148
2021-09-02,Base Min-Variance,0.006263904282801952
2021-09-03,Base Min-Variance,-0.0011143250511728424
2021-09-07,Base Min-Variance,-0.013703310098045447
2021-09-08,Base Min-Variance,0.004249909767384022
2021-09-09,Base Min-Variance,-0.011057104548063957
2021-09-10,Base Min-Variance,-0.0074264981173478295
2021-09-13,Base Min-Variance,-0.0003560585315870784
2021-09-14,Base Min-Variance,-0.0056752789371385115
2021-09-15,Base Min-Variance,0.0028667171162233655
2021-09-16,Base Min-Variance,-0.004637136705538077
2021-09-17,Base Min-Variance,-0.00787158848966578
2021-09-20,Base Min-Variance,-0.009112502382195008
2021-09-21,Base Min-Variance,-0.004185141582473053
2021-09-22,Base Min-Variance,0.00038817317520234044
2021-09-23,Base Min-Variance,0.0031936186077835406
2021-09-24,Base Min-Variance,-0.00262970893672168
2021-09-27,Base Min-Variance,-0.003332621581023341
2021-09-28,Base Min-Variance,-0.005486741639929025
2021-09-29,Base Min-Variance,0.008649871545361256
2021-09-30,Base Min-Variance,-0.009410545554781503
2021-10-01,Base Min-Variance,0.014276859037800144
2021-10-04,Base Min-Variance,0.002519389149286928
2021-10-05,Base Min-Variance,0.0007847620739257468
2021-10-06,Base Min-Variance,0.0023317872973472385
2021-10-07,Base Min-Variance,0.00865759565351592
2021-10-08,Base Min-Variance,-0.0052233684623567474
2021-10-11,Base Min-Variance,-0.008764320448290012
2021-10-12,Base Min-Variance,-0.0007742561423226275
2021-10-13,Base Min-Variance,0.0006848493146035396
2021-10-14,Base Min-Variance,0.008794588010921298
2021-10-15,Base Min-Variance,-0.0007256119885512487
2021-10-18,Base Min-Variance,-0.001513467898684959
2021-10-19,Base Min-Variance,0.013456689097559111
2021-10-20,Base Min-Variance,0.010322408951310941
2021-10-21,Base Min-Variance,0.005705441313700872
2021-10-22,Base Min-Variance,0.0025778629711692338
2021-10-25,Base Min-Variance,0.004506049360775089
2021-10-26,Base Min-Variance,8.569941182759357e-05
2021-10-27,Base Min-Variance,-0.010880449583746624
2021-10-28,Base Min-Variance,0.01833432062944098
2021-10-29,Base Min-Variance,-0.000714954117773929
2021-11-01,Base Min-Variance,0.00535150627112325
2021-11-02,Base Min-Variance,0.004701857507489891
2021-11-03,Base Min-Variance,6.35726858771768e-05
2021-11-04,Base Min-Variance,0.0006963582689056172
2021-11-05,Base Min-Variance,-0.012395876434406271
