date,strategy,return
2023-08-10,Base Min-Variance,-0.002062432173860126
2023-08-11,Base Min-Variance,0.006184238483162923
2023-08-14,Base Min-Variance,-0.00044104107978530584
2023-08-15,Base Min-Variance,-0.006265016707610517
2023-08-16,Base Min-Variance,-0.0026889711921976355
2023-08-17,Base Min-Variance,-0.005725687377815987
2023-08-18,Base Min-Variance,0.003711533212868012
2023-08-21,Base Min-Variance,-0.0029535756879231698
2023-08-22,Base Min-Variance,-0.006025860946399461
2023-08-23,Base Min-Variance,0.01104785799657884
2023-08-24,Base Min-Variance,-0.009585422533768675
2023-08-25,Base Min-Variance,0.0025840640627654977
2023-08-28,Base Min-Variance,0.002854713101525454
2023-08-29,Base Min-Variance,0.005495120946416249
2023-08-30,Base Min-Variance,0.0018674140229154022
2023-08-31,Base Min-Variance,-0.005022084609726181
2023-09-01,Base Min-Variance,0.0006444403557556121
2023-09-05,Base Min-Variance,-0.009617509150626372
2023-09-06,Base Min-Variance,-0.0025773636631912502
2023-09-07,Base Min-Variance,0.006620957954234989
2023-09-08,Base Min-Variance,0.0038724501985150945
2023-09-11,Base Min-Variance,0.003163521713313766
2023-09-12,Base Min-Variance,-0.0012807911811238888
2023-09-13,Base Min-Variance,0.00016622552449866058
2023-09-14,Base Min-Variance,0.008490436451758608
2023-09-15,Base Min-Variance,-0.008894199030701978
2023-09-18,Base Min-Variance,0.0007052828152438476
2023-09-19,Base Min-Variance,0.00033013935208486925
2023-09-20,Base Min-Variance,0.001427604793162353
2023-09-21,Base Min-Variance,-0.014006541161071022
2023-09-22,Base Min-Variance,-0.0017569698012998493
2023-09-25,Base Min-Variance,-0.0010876675257057867
2023-09-26,Base Min-Variance,-0.006280577946048688
2023-09-27,Base Min-Variance,-0.006273698820689483
2023-09-28,Base Min-Variance,0.002432673166635889
2023-09-29,Base Min-Variance,-0.005223820924408243
2023-10-02,Base Min-Variance,-0.006756520740363341
2023-10-03,Base Min-Variance,-0.00783071451387736
2023-10-04,Base Min-Variance,0.006149869172286902
2023-10-05,Base Min-Variance,-0.008571394536177555
2023-10-06,Base Min-Variance,0.0037078392220057147
2023-10-09,Base Min-Variance,0.004925306281471856
2023-10-10,Base Min-Variance,0.008718704678811076
2023-10-11,Base Min-Variance,0.0027877640720940632
2023-10-12,Base Min-Variance,-0.0034052856996366083
2023-10-13,Base Min-Variance,0.0029099131150556743
2023-10-16,Base Min-Variance,0.005696297776558197
2023-10-17,Base Min-Variance,0.004339699867958861
2023-10-18,Base Min-Variance,-0.007630264344814195
2023-10-19,Base Min-Variance,-0.006329975457953029
2023-10-20,Base Min-Variance,-0.00012625021668052688
2023-10-23,Base Min-Variance,-0.0037808291311012122
2023-10-24,Base Min-Variance,0.013701890998062946
2023-10-25,Base Min-Variance,-0.0021257941828361675
2023-10-26,Base Min-Variance,-0.0019214791396517474
2023-10-27,Base Min-Variance,-0.016872431036842144
2023-10-30,Base Min-Variance,0.0035052114318827724
2023-10-31,Base Min-Variance,0.006020065504403221
2023-11-01,Base Min-Variance,0.004026635023818276
2023-11-02,Base Min-Variance,0.014660922857073194
2023-11-03,Base Min-Variance,0.0017281275483808523
2023-11-06,Base Min-Variance,0.000932690781194782
2023-11-07,Base Min-Variance,0.0014767104727841747
2023-11-08,Base Min-Variance,-0.0008034426445392166
2023-11-09,Base Min-Variance,-0.009925694450130905
2023-11-10,Base Min-Variance,0.004868452151154857
2023-11-13,Base Min-Variance,0.0031667258558572696
2023-11-14,Base Min-Variance,0.007513611011460882
2023-11-15,Base Min-Variance,0.0034308721237694133
2023-11-16,Base Min-Variance,-0.014709784297732996
2023-11-17,Base Min-Variance,7.932790972134732e-06
2023-11-20,Base Min-Variance,0.004111741807611483
2023-11-21,Base Min-Variance,0.003255614661890502
2023-11-22,Base Min-Variance,-0.0007534104961498446
2023-11-24,Base Min-Variance,0.00444869603295071
2023-11-27,Base Min-Variance,0.00046029041577923886
2023-11-28,Base Min-Variance,-0.0004033409920124525
2023-11-29,Base Min-Variance,-0.001667849693270143
2023-11-30,Base Min-Variance,0.008905000750500812
2023-12-01,Base Min-Variance,0.0034076792624342695
2023-12-04,Base Min-Variance,0.00132595303820926
2023-12-05,Base Min-Variance,0.0030378791979503526
2023-12-06,Base Min-Variance,-0.0030399302099085993
2023-12-07,Base Min-Variance,0.00021902455163836038
2023-12-08,Base Min-Variance,-0.0021643530860300853
2023-12-11,Base Min-Variance,0.006513031136075842
2023-12-12,Base Min-Variance,0.0037607756870400434
2023-12-13,Base Min-Variance,0.014923651194991991
2023-12-14,Base Min-Variance,-0.0030966179315325302
2023-12-15,Base Min-Variance,-0.004302005768415782
2023-12-18,Base Min-Variance,0.003781290237656652
2023-12-19,Base Min-Variance,0.00395188268822237
2023-12-20,Base Min-Variance,-0.01302110844444349
2023-12-21,Base Min-Variance,0.007634028637155075
2023-12-22,Base Min-Variance,0.006568779143998047
2023-12-26,Base Min-Variance,0.003272792780559825
2023-12-27,Base Min-Variance,0.0037190068314369093
2023-12-28,Base Min-Variance,0.0019180217049502815
2023-12-29,Base Min-Variance,-0.00027458139715278514
2023-01-03,Naive Contrarian,0.0012638982494002533
2023-01-04,Naive Contrarian,0.00968515468609298
2023-01-05,Naive Contrarian,-0.000629181692962676
2023-01-06,Naive Contrarian,0.016460573163999317
2023-01-09,Naive Contrarian,-0.014408484406429074
2023-01-10,Naive Contrarian,0.001467148595909427
2023-01-11,Naive Contrarian,0.0022104054494158573
2023-01-12,Naive Contrarian,-0.0043381161741328795
2023-01-13,Naive Contrarian,0.002538930065153278
2023-01-17,Naive Contrarian,-0.005619047742965909
2023-01-18,Naive Contrarian,-0.017724228986625422
2023-01-19,Naive Contrarian,-0.0032889552278509006
2023-01-20,Naive Contrarian,0.009690032607776214
2023-01-23,Naive Contrarian,0.002427566162298227
2023-01-24,Naive Contrarian,-0.0017720294911762967
2023-01-25,Naive Contrarian,-0.0009509968173690387
2023-01-26,Naive Contrarian,0.00022988462617040068
2023-01-27,Naive Contrarian,-0.004417400798944635
2023-01-30,Naive Contrarian,-0.004613653075625205
2023-01-31,Naive Contrarian,0.0068894369243082355
2023-02-01,Naive Contrarian,-0.021499888395747548
2023-02-02,Naive Contrarian,-0.006657900749574846
2023-02-03,Naive Contrarian,-0.00990575535251026
2023-02-06,Naive Contrarian,-0.0026556810092445986
2023-02-07,Naive Contrarian,0.003741497208282205
2023-02-08,Naive Contrarian,-0.009285623412560007
2023-02-09,Naive Contrarian,-0.003966792920270244
2023-02-10,Naive Contrarian,0.01014155406732565
2023-02-13,Naive Contrarian,0.007606504757492344
2023-02-14,Naive Contrarian,-0.008768846398084073
2023-02-15,Naive Contrarian,0.0021814184319341326
2023-02-16,Naive Contrarian,-0.013084554512202327
2023-02-17,Naive Contrarian,0.013592465660739177
2023-02-21,Naive Contrarian,-0.006218503676577368
2023-02-22,Naive Contrarian,-0.004279191861516675
2023-02-23,Naive Contrarian,0.0018011437506180485
2023-02-24,Naive Contrarian,-0.00997162355569656
2023-02-27,Naive Contrarian,0.0005131214428618952
2023-02-28,Naive Contrarian,-0.008357692259918137
2023-03-01,Naive Contrarian,0.004461869715072608
2023-03-02,Naive Contrarian,0.002533604142511344
2023-03-03,Naive Contrarian,0.004181636490398046
2023-03-06,Naive Contrarian,0.002714367445604715
2023-03-07,Naive Contrarian,-0.0169065625362206
2023-03-08,Naive Contrarian,-0.0023637620215224025
2023-03-09,Naive Contrarian,-0.012381436726797989
2023-03-10,Naive Contrarian,-0.0007386474713039633
2023-03-13,Naive Contrarian,0.014751015254193795
2023-03-14,Naive Contrarian,0.0006425117524761416
2023-03-15,Naive Contrarian,0.007684749518491488
2023-03-16,Naive Contrarian,0.0003280834824029203
2023-03-17,Naive Contrarian,-0.013777286672224165
2023-03-20,Naive Contrarian,0.015513296235660825
2023-03-21,Naive Contrarian,-0.004378022167381451
2023-03-22,Naive Contrarian,-0.015833248290178552
2023-03-23,Naive Contrarian,0.006753435636491701
2023-03-24,Naive Contrarian,0.019191710055723683
2023-03-27,Naive Contrarian,0.0002243995619894408
2023-03-28,Naive Contrarian,0.003462378067364452
2023-03-29,Naive Contrarian,0.009532665666422638
2023-03-30,Naive Contrarian,0.0032555280462199876
2023-03-31,Naive Contrarian,0.005606972539749664
2023-04-03,Naive Contrarian,0.011276437342982224
2023-04-04,Naive Contrarian,0.007620643457398798
2023-04-05,Naive Contrarian,0.016667213876814923
2023-04-06,Naive Contrarian,-0.0003667422747806162
