date,ticker,sector,base_weight,stock_sentiment_z,sector_neutral_weight
2023-05-01,KO,Consumer,0.1516503715833925,-0.8663488943638823,0.20276196551703543
2023-05-01,MMM,Industrials,0.0,0.10643670805231943,0.0
2023-05-01,MRK,Healthcare,0.1773449778395348,-0.7862758825825004,0.2741119560757074
2023-05-01,MS,Financials,1.500226973222297e-17,-1.9058233685914419,1.652962467179852e-17
2023-05-01,NEE,Utilities,1.1354230353031961e-18,-0.3748906200450753,6.208686895323678e-19
2023-05-01,NEM,Materials,0.0043092949973342,-0.24821983956006766,0.0043092949973342135
2023-05-01,NKE,Consumer,2.476419494661204e-20,1.8466172349540144,0.0
2023-05-01,NUE,Materials,0.0,-0.15511560973607727,0.0
2023-05-01,NVDA,Tech,0.0,-0.20038385091557367,0.0
2023-05-01,O,RealEstate,0.103621365940851,1.9153026084821803,0.0
2023-05-01,OXY,Energy,9.242798807261637e-19,-0.4303671951378862,1.8508405085338396e-18
2023-05-01,PLD,RealEstate,1.000842906600566e-18,-0.4823895364068326,0.103621365940851
2023-05-01,PSA,RealEstate,0.0,-0.39354402110844117,0.0
2023-05-01,QCOM,Tech,0.0,-1.566343094769339,0.0
2023-05-01,SBUX,Consumer,0.0,-0.023586544556933913,0.0
2023-05-01,SHW,Materials,5.399829925933751e-19,-0.17318192300598478,5.075214041338258e-19
2023-05-01,SLB,Energy,4.177257144837539e-19,3.3765625751177306,0.0
2023-05-01,SO,Utilities,3.8017704494983966e-18,0.5306557682201326,7.096615645497127e-19
2023-05-01,T,Comm,0.0361170774258937,0.12520161667992993,0.02497007286305497
2023-05-01,TMUS,Comm,0.0,0.8193648840565185,0.0
2023-05-01,TTWO,Comm,0.0227543889150102,-0.29222413157744376,0.023238188026794893
2023-05-01,UPS,Industrials,1.4960750273236544e-18,-0.7839777711277442,1.7533282467804008e-18
2023-05-01,USB,Financials,0.0,-0.30868532065832543,0.0
2023-05-01,V,Financials,2.1041452737765262e-18,0.2770546941847744,5.767903342009795e-19
2023-05-01,WFC,Financials,0.0,-0.4322084446040972,0.0
2023-05-01,WMT,Consumer,0.1198036178327055,0.1996384818265277,0.06869202389906254
2023-05-01,XOM,Energy,0.0,0.6589137966397541,0.0
2023-06-01,ABBV,Healthcare,0.0606229679535468,-0.580957379622353,0.14390773301889898
2023-06-01,ABT,Healthcare,1.3183901283369537e-18,-0.4605683675151321,2.8912963518450633e-18
2023-06-01,ADBE,Tech,0.0,0.23601333410359118,0.0
2023-06-01,AEP,Utilities,0.0,-0.26927783553479284,0.0
2023-06-01,AMD,Tech,2.4662672771411324e-19,-0.9503197158079945,3.1627826454682214e-19
2023-06-01,AMGN,Healthcare,0.0872825910396922,-0.3402104042268606,0.17564160228509887
2023-06-01,AMT,RealEstate,1.2856002105828799e-18,-0.43075407256715365,1.1048712417261554e-18
2023-06-01,BA,Industrials,0.0,0.0,0.0
2023-06-01,CAT,Industrials,8.931369971361956e-19,-0.3785084513061647,8.931369971361956e-19
2023-06-01,CCI,RealEstate,2.3241307396400617e-18,0.6476547110696873,4.918920096496473e-19
2023-06-01,CMCSA,Comm,4.1372364894692074e-18,-1.3122308348165985,6.694061462631252e-18
