decision_date,effective_date,fund,profile,fund_type,turnover
2022-12-30,2023-01-03,conservative_adaptive,conservative,adaptive,0.2209193364421343
2023-01-31,2023-02-01,conservative_adaptive,conservative,adaptive,0.17748985355876823
2023-02-28,2023-03-01,conservative_adaptive,conservative,adaptive,0.23170723991299635
2023-03-31,2023-04-03,conservative_adaptive,conservative,adaptive,0.15025053585959736
2023-04-28,2023-05-01,conservative_adaptive,conservative,adaptive,0.21610772790753396
2023-05-31,2023-06-01,conservative_adaptive,conservative,adaptive,0.40483841889767785
2023-06-30,2023-07-03,conservative_adaptive,conservative,adaptive,0.23727562518482673
2023-07-31,2023-08-01,conservative_adaptive,conservative,adaptive,0.14337044390207007
2023-08-31,2023-09-01,conservative_adaptive,conservative,adaptive,0.40364452088720315
2023-09-29,2023-10-02,conservative_adaptive,conservative,adaptive,0.37335508314179067
2023-10-31,2023-11-01,conservative_adaptive,conservative,adaptive,0.33882634191477967
2023-11-30,2023-12-01,conservative_adaptive,conservative,adaptive,0.21344178845106082
2020-12-31,2021-01-04,conservative_fixed,conservative,fixed,
2021-01-29,2021-02-01,conservative_fixed,conservative,fixed,0.15779137212676464
2021-02-26,2021-03-01,conservative_fixed,conservative,fixed,0.09842486031439818
2021-03-31,2021-04-01,conservative_fixed,conservative,fixed,0.516785529437449
2021-04-30,2021-05-03,conservative_fixed,conservative,fixed,0.22418223413376598
2021-05-28,2021-06-01,conservative_fixed,conservative,fixed,0.2412201189284086
2021-06-30,2021-07-01,conservative_fixed,conservative,fixed,0.3130267218912635
2021-07-30,2021-08-02,conservative_fixed,conservative,fixed,0.07793440578396721
2021-08-31,2021-09-01,conservative_fixed,conservative,fixed,0.032062761113493335
2021-09-30,2021-10-01,conservative_fixed,conservative,fixed,0.3072022729411106
2021-10-29,2021-11-01,conservative_fixed,conservative,fixed,0.2947058865488155
2021-11-30,2021-12-01,conservative_fixed,conservative,fixed,0.33594940582697536
2021-12-31,2022-01-03,conservative_fixed,conservative,fixed,0.1340001882712196
2022-01-31,2022-02-01,conservative_fixed,conservative,fixed,0.31493305566929436
2022-02-28,2022-03-01,conservative_fixed,conservative,fixed,0.5093656325744196
2022-03-31,2022-04-01,conservative_fixed,conservative,fixed,0.42370929590739664
2022-04-29,2022-05-02,conservative_fixed,conservative,fixed,0.36255248829416437
2022-05-31,2022-06-01,conservative_fixed,conservative,fixed,0.29612696592304766
2022-06-30,2022-07-01,conservative_fixed,conservative,fixed,0.42618429664670265
2022-07-29,2022-08-01,conservative_fixed,conservative,fixed,0.05671298032427467
2022-08-31,2022-09-01,conservative_fixed,conservative,fixed,0.15715183053066345
2022-09-30,2022-10-03,conservative_fixed,conservative,fixed,0.3824638817065518
2022-10-31,2022-11-01,conservative_fixed,conservative,fixed,0.12764679022736422
2022-11-30,2022-12-01,conservative_fixed,conservative,fixed,0.28388430963439787
2022-12-30,2023-01-03,conservative_fixed,conservative,fixed,0.2219893402130485
2023-01-31,2023-02-01,conservative_fixed,conservative,fixed,0.16607610146888444
2023-02-28,2023-03-01,conservative_fixed,conservative,fixed,0.22977764511026644
2023-03-31,2023-04-03,conservative_fixed,conservative,fixed,0.1496084381131843
2023-04-28,2023-05-01,conservative_fixed,conservative,fixed,0.21528666893022363
2023-05-31,2023-06-01,conservative_fixed,conservative,fixed,0.40230391409882665
2023-06-30,2023-07-03,conservative_fixed,conservative,fixed,0.23600433199194007
2023-07-31,2023-08-01,conservative_fixed,conservative,fixed,0.13781483353845814
2023-08-31,2023-09-01,conservative_fixed,conservative,fixed,0.40564300184226554
2023-09-29,2023-10-02,conservative_fixed,conservative,fixed,0.3670269333270597
2023-10-31,2023-11-01,conservative_fixed,conservative,fixed,0.33540288722270245
2023-11-30,2023-12-01,conservative_fixed,conservative,fixed,0.21298271212968828
2020-12-31,2021-01-04,growth_adaptive,growth,adaptive,
2021-01-29,2021-02-01,growth_adaptive,growth,adaptive,0.1942044478051855
2021-02-26,2021-03-01,growth_adaptive,growth,adaptive,0.11126064012741725
2021-03-31,2021-04-01,growth_adaptive,growth,adaptive,0.48908456151483715
2021-04-30,2021-05-03,growth_adaptive,growth,adaptive,0.20429043535986713
2021-05-28,2021-06-01,growth_adaptive,growth,adaptive,0.2625857397560326
2021-06-30,2021-07-01,growth_adaptive,growth,adaptive,0.2904551368104434
2021-07-30,2021-08-02,growth_adaptive,growth,adaptive,0.09684733881837207
2021-08-31,2021-09-01,growth_adaptive,growth,adaptive,0.02642791871033558
2021-09-30,2021-10-01,growth_adaptive,growth,adaptive,0.2917042192137263
2021-10-29,2021-11-01,growth_adaptive,growth,adaptive,0.2766018165663081
2021-11-30,2021-12-01,growth_adaptive,growth,adaptive,0.3437492550543052
2021-12-31,2022-01-03,growth_adaptive,growth,adaptive,0.11687154739605862
2022-01-31,2022-02-01,growth_adaptive,growth,adaptive,0.30355900765694976
2022-02-28,2022-03-01,growth_adaptive,growth,adaptive,0.44854653999916794
2022-03-31,2022-04-01,growth_adaptive,growth,adaptive,0.36804061488808437
2022-04-29,2022-05-02,growth_adaptive,growth,adaptive,0.32956289510832726
2022-05-31,2022-06-01,growth_adaptive,growth,adaptive,0.288714441826428
2022-06-30,2022-07-01,growth_adaptive,growth,adaptive,0.41301200571936253
2022-07-29,2022-08-01,growth_adaptive,growth,adaptive,0.05476295788705075
2022-08-31,2022-09-01,growth_adaptive,growth,adaptive,0.17677714416201415
2022-09-30,2022-10-03,growth_adaptive,growth,adaptive,0.36099404034114513
2022-10-31,2022-11-01,growth_adaptive,growth,adaptive,0.1474211908693578
2022-11-30,2022-12-01,growth_adaptive,growth,adaptive,0.2749595946575598
2022-12-30,2023-01-03,growth_adaptive,growth,adaptive,0.21812276899880248
2023-01-31,2023-02-01,growth_adaptive,growth,adaptive,0.1510815659780342
2023-02-28,2023-03-01,growth_adaptive,growth,adaptive,0.20423466922344494
2023-03-31,2023-04-03,growth_adaptive,growth,adaptive,0.13560830993175838
2023-04-28,2023-05-01,growth_adaptive,growth,adaptive,0.19423339861210212
2023-05-31,2023-06-01,growth_adaptive,growth,adaptive,0.341089843407113
2023-06-30,2023-07-03,growth_adaptive,growth,adaptive,0.21133625466585002
2023-07-31,2023-08-01,growth_adaptive,growth,adaptive,0.13467392224617702
2023-08-31,2023-09-01,growth_adaptive,growth,adaptive,0.41889410090293094
2023-09-29,2023-10-02,growth_adaptive,growth,adaptive,0.31200456801584964
2023-10-31,2023-11-01,growth_adaptive,growth,adaptive,0.26955114102735744
2023-11-30,2023-12-01,growth_adaptive,growth,adaptive,0.20359969147882964
2020-12-31,2021-01-04,growth_fixed,growth,fixed,
2021-01-29,2021-02-01,growth_fixed,growth,fixed,0.20965192778027
2021-02-26,2021-03-01,growth_fixed,growth,fixed,0.14330493866814173
2021-03-31,2021-04-01,growth_fixed,growth,fixed,0.447232793742894
2021-04-30,2021-05-03,growth_fixed,growth,fixed,0.2062746918420395
2021-05-28,2021-06-01,growth_fixed,growth,fixed,0.28409150581221854
2021-06-30,2021-07-01,growth_fixed,growth,fixed,0.2843779390172554
2021-07-30,2021-08-02,growth_fixed,growth,fixed,0.06789469754903743
2021-08-31,2021-09-01,growth_fixed,growth,fixed,0.06869431135904357
2021-09-30,2021-10-01,growth_fixed,growth,fixed,0.2545300329730717
2021-10-29,2021-11-01,growth_fixed,growth,fixed,0.24881828602949446
2021-11-30,2021-12-01,growth_fixed,growth,fixed,0.3110041614997943
2021-12-31,2022-01-03,growth_fixed,growth,fixed,0.14527670171623214
2022-01-31,2022-02-01,growth_fixed,growth,fixed,0.2972155958564892
2022-02-28,2022-03-01,growth_fixed,growth,fixed,0.41326594866362815
2022-03-31,2022-04-01,growth_fixed,growth,fixed,0.3335158893023635
2022-04-29,2022-05-02,growth_fixed,growth,fixed,0.3210942982722089
2022-05-31,2022-06-01,growth_fixed,growth,fixed,0.3007130495306639
2022-06-30,2022-07-01,growth_fixed,growth,fixed,0.40993458808905114
2022-07-29,2022-08-01,growth_fixed,growth,fixed,0.05552530044800605
2022-08-31,2022-09-01,growth_fixed,growth,fixed,0.14765599707395008
2022-09-30,2022-10-03,growth_fixed,growth,fixed,0.3132228840913505
2022-10-31,2022-11-01,growth_fixed,growth,fixed,0.10904440829050793
2022-11-30,2022-12-01,growth_fixed,growth,fixed,0.2731170315684701
2022-12-30,2023-01-03,growth_fixed,growth,fixed,0.22380257102638254
2023-01-31,2023-02-01,growth_fixed,growth,fixed,0.14785884816413786
2023-02-28,2023-03-01,growth_fixed,growth,fixed,0.1833545874930436
2023-03-31,2023-04-03,growth_fixed,growth,fixed,0.13425409971502084
2023-04-28,2023-05-01,growth_fixed,growth,fixed,0.19408955391115343
2023-05-31,2023-06-01,growth_fixed,growth,fixed,0.34149353759444734
2023-06-30,2023-07-03,growth_fixed,growth,fixed,0.2054790209025168
2023-07-31,2023-08-01,growth_fixed,growth,fixed,0.1297913816208706
2023-08-31,2023-09-01,growth_fixed,growth,fixed,0.4231265088071589
2023-09-29,2023-10-02,growth_fixed,growth,fixed,0.30384430409590873
2023-10-31,2023-11-01,growth_fixed,growth,fixed,0.2654061828360179
2023-11-30,2023-12-01,growth_fixed,growth,fixed,0.20359266820207234
