date,fund,profile,fund_type,gross_return,turnover,transaction_cost_rate,transaction_cost,net_return,gross_growth_of_1,net_growth_of_1,cumulative_transaction_cost
2022-02-11,balanced_fixed,balanced,fixed,-0.017948052866645248,0,0.001,0,-0.017948052866645248,1.2453058453532138,1.2415693513640405,0.0030215227335434764
2022-02-14,balanced_fixed,balanced,fixed,-0.0088134647728438376,0,0.001,0,-0.0088134647728438376,1.2343303861537767,1.2306268236227509,0.0030215227335434764
2022-02-15,balanced_fixed,balanced,fixed,0.015696507372386481,0,0.001,0,0.015696507372386481,1.2537050621600001,1.249943366632402,0.0030215227335434764
2022-02-16,balanced_fixed,balanced,fixed,-0.0035048893020284133,0,0.001,0,-0.0035048893020284133,1.2493109646997367,1.2455624534985508,0.0030215227335434764
2022-02-17,balanced_fixed,balanced,fixed,-0.029290106225366763,0,0.001,0,-0.029290106225366763,1.2127185138351659,1.2090797969252498,0.0030215227335434764
2022-02-18,balanced_fixed,balanced,fixed,-0.0067243119563528131,0,0.001,0,-0.0067243119563528131,1.2045638162328938,1.2009495671906008,0.0030215227335434764
2022-02-22,balanced_fixed,balanced,fixed,0.0016919259308683099,0,0.001,0,0.0016919259308683099,1.2066018489889638,1.2029814849049956,0.0030215227335434764
2022-02-23,balanced_fixed,balanced,fixed,-0.0034469351094291723,0,0.001,0,-0.0034469351094291723,1.2024427707125815,1.1988348857886832,0.0030215227335434764
2022-02-24,balanced_fixed,balanced,fixed,0.00023392440206881915,0,0.001,0,0.00023392440206881915,1.2027240514187425,1.1991153225225206,0.0030215227335434764
2022-02-25,balanced_fixed,balanced,fixed,0.028456649043010929,0,0.001,0,0.028456649043010929,1.2369495476455539,1.2332381264176409,0.0030215227335434764
2022-02-28,balanced_fixed,balanced,fixed,0.016415342657135845,0,0.001,0,0.016415342657135845,1.2572544983197449,1.2534821528406306,0.0030215227335434764
2022-03-01,balanced_fixed,balanced,fixed,-0.005966416038734379,0.46201645340725928,0.001,0.00046201645340725926,-0.0064284324921416386,1.2497531949161991,1.2454242274409901,0.003483539186950736
2022-03-02,balanced_fixed,balanced,fixed,0.0066490941711716545,0,0.001,0,0.0066490941711716545,1.2580629215999195,1.2537051704123039,0.003483539186950736
2022-03-03,balanced_fixed,balanced,fixed,-0.0044180367445322277,0,0.001,0,-0.0044180367445322277,1.2525047533853575,1.2481662549026122,0.003483539186950736
2022-03-04,balanced_fixed,balanced,fixed,-0.013743841144468805,0,0.001,0,-0.013743841144468805,1.235290527022137,1.2310116561733442,0.003483539186950736
2022-03-07,balanced_fixed,balanced,fixed,-0.019727937350605185,0,0.001,0,-0.019727937350605185,1.2109207928952483,1.2067263353424917,0.003483539186950736
2022-03-08,balanced_fixed,balanced,fixed,-0.012823089866089044,0,0.001,0,-0.012823089866089044,1.1953930467472367,1.1912523751006188,0.003483539186950736
2022-03-09,balanced_fixed,balanced,fixed,0.01936924898682979,0,0.001,0,0.01936924898682979,1.2185469123068089,1.2143260389600949,0.003483539186950736
2022-03-10,balanced_fixed,balanced,fixed,-0.014814707233637203,0,0.001,0,-0.014814707233637203,1.2004944965505309,1.1963361542067188,0.003483539186950736
2022-03-11,balanced_fixed,balanced,fixed,-0.0061459775183667631,0,0.001,0,-0.0061459775183667631,1.1931162843638083,1.1889834990985551,0.003483539186950736
2022-03-14,balanced_fixed,balanced,fixed,0.0011364452857387519,0,0.001,0,0.0011364452857387519,1.1944721957405118,1.1903347137909268,0.003483539186950736
